Toimialaluokitus 2008 / Toimialaluokitus 2002
(sarkaineroteltu tekstitiedosto)

koodi-1	taso-1	nimike-1	koodi-2	taso-2	nimike-2	osuus
A	1	Maatalous, metsätalous ja kalatalous	A*	1	Maatalous, riistatalous ja metsätalous	1
A	1	Maatalous, metsätalous ja kalatalous	B	1	Kalatalous	2
A	1	Maatalous, metsätalous ja kalatalous	D	1	Teollisuus	2
A	1	Maatalous, metsätalous ja kalatalous	F	1	Rakentaminen	2
A	1	Maatalous, metsätalous ja kalatalous	L	1	Julkinen hallinto ja maanpuolustus; pakollinen sosiaalivakuutus	2
01	2	Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut	01*	2	Maatalous, riistatalous ja niihin liittyvät palvelut	1
01	2	Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut	02	2	Metsätalous ja siihen liittyvät palvelut	2
011	3	Yksivuotisten kasvien viljely	011	3	Kasvinviljely; puutarhatalous	0
0111	4	Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely	0111	4	Viljakasvien ja muiden viljelykasvien viljely	0
01110	5	Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely	01111	5	Viljakasvien sekä palko- ja öljykasvien viljely	0
0112	4	Riisin viljely	0111	4	Viljakasvien ja muiden viljelykasvien viljely	0
01120	5	Riisin viljely	01111	5	Viljakasvien sekä palko- ja öljykasvien viljely	0
0113	4	Vihannesten ja melonien, juuresten ja mukulakasvien viljely	0111	4	Viljakasvien ja muiden viljelykasvien viljely	2
0113	4	Vihannesten ja melonien, juuresten ja mukulakasvien viljely	0112*	4	Vihannesten, koristekasvien ja taimien viljely	1
01131	5	Vihannesten viljely avomaalla (pl. peruna ja sokerijuurikas)	01120	5	Vihannesten, koristekasvien ja taimien viljely	0
01132	5	Vihannesten viljely kasvihuoneessa	01120	5	Vihannesten, koristekasvien ja taimien viljely	0
01133	5	Perunan viljely	01112	5	Muiden viljelykasvien viljely	0
01134	5	Sokerijuurikkaan viljely	01112	5	Muiden viljelykasvien viljely	0
0114	4	Sokeriruo'on viljely	0111	4	Viljakasvien ja muiden viljelykasvien viljely	0
01140	5	Sokeriruo'on viljely	01112	5	Muiden viljelykasvien viljely	0
0115	4	Tupakan viljely	0111	4	Viljakasvien ja muiden viljelykasvien viljely	0
01150	5	Tupakan viljely	01112	5	Muiden viljelykasvien viljely	0
0116	4	Kuitukasvien viljely	0111	4	Viljakasvien ja muiden viljelykasvien viljely	0
01160	5	Kuitukasvien viljely	01111	5	Viljakasvien sekä palko- ja öljykasvien viljely	0
0119	4	Muu yksivuotisten ja koristekasvien viljely	0111	4	Viljakasvien ja muiden viljelykasvien viljely	2
0119	4	Muu yksivuotisten ja koristekasvien viljely	0112*	4	Vihannesten, koristekasvien ja taimien viljely	1
01191	5	Koristekasvien viljely	01120	5	Vihannesten, koristekasvien ja taimien viljely	0
01199	5	Muiden yksivuotisten kasvien viljely	01112	5	Muiden viljelykasvien viljely	0
012	3	Monivuotisten kasvien viljely	011*	3	Kasvinviljely; puutarhatalous	1
012	3	Monivuotisten kasvien viljely	020	3	Metsätalous ja siihen liittyvät palvelut	2
0121	4	Rypäleiden viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
01210	5	Rypäleiden viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
0122	4	Trooppisten ja subtrooppisten hedelmien viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
01220	5	Trooppisten ja subtrooppisten hedelmien viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
0123	4	Sitrushedelmien viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
01230	5	Sitrushedelmien viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
0124	4	Omenoiden, kirsikoiden, luumujen ym. kota- ja kivihedelmien viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
01240	5	Omenoiden, kirsikoiden, luumujen ym. kota- ja kivihedelmien viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
0125	4	Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
01250	5	Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
0126	4	Öljyä sisältävien hedelmien viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
01260	5	Öljyä sisältävien hedelmien viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
0127	4	Juomakasvien viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
01270	5	Juomakasvien viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	0
0128	4	Mauste-, aromi-, rohdos- ja lääkekasvien viljely	0111	4	Viljakasvien ja muiden viljelykasvien viljely	2
0128	4	Mauste-, aromi-, rohdos- ja lääkekasvien viljely	0112*	4	Vihannesten, koristekasvien ja taimien viljely	1
0128	4	Mauste-, aromi-, rohdos- ja lääkekasvien viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	2
01280	5	Mauste-, aromi-, rohdos- ja lääkekasvien viljely	01112	5	Muiden viljelykasvien viljely	2
01280	5	Mauste-, aromi-, rohdos- ja lääkekasvien viljely	01120*	5	Vihannesten, koristekasvien ja taimien viljely	1
01280	5	Mauste-, aromi-, rohdos- ja lääkekasvien viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	2
0129	4	Muu monivuotisten kasvien viljely	0111*	4	Viljakasvien ja muiden viljelykasvien viljely	1
0129	4	Muu monivuotisten kasvien viljely	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	2
0129	4	Muu monivuotisten kasvien viljely	0201	4	Metsätalous	2
01290	5	Muu monivuotisten kasvien viljely	01112*	5	Muiden viljelykasvien viljely	1
01290	5	Muu monivuotisten kasvien viljely	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	2
01290	5	Muu monivuotisten kasvien viljely	02013	5	Puunkorjuu	2
013	3	Taimien kasvatus ja muu kasvien lisääminen	011	3	Kasvinviljely; puutarhatalous	0
0130	4	Taimien kasvatus ja muu kasvien lisääminen	0112*	4	Vihannesten, koristekasvien ja taimien viljely	1
0130	4	Taimien kasvatus ja muu kasvien lisääminen	0113	4	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	2
01300	5	Taimien kasvatus ja muu kasvien lisääminen	01120*	5	Vihannesten, koristekasvien ja taimien viljely	1
01300	5	Taimien kasvatus ja muu kasvien lisääminen	01130	5	Hedelmien, pähkinöiden, juoma- ja maustekasvien viljely	2
014	3	Kotieläintalous	012	3	Kotieläintalous	0
0141	4	Lypsykarjan kasvatus	0121	4	Nautakarjan hoito	0
01410	5	Lypsykarjan kasvatus	01211	5	Lypsykarjatalous	0
0142	4	Muun nautakarjan ja puhvelien kasvatus	0121	4	Nautakarjan hoito	0
01420	5	Muun nautakarjan ja puhvelien kasvatus	01212*	5	Lihakarjan kasvatus	1
01420	5	Muun nautakarjan ja puhvelien kasvatus	01213	5	Muu nautakarjatalous	2
0143	4	Hevosten ja muiden hevoseläinten kasvatus	0122	4	Lampaiden, vuohien, hevosten, aasien ja muulien hoito	0
01430	5	Hevosten ja muiden hevoseläinten kasvatus	01220	5	Lampaiden, vuohien, hevosten, aasien ja muulien hoito	0
0144	4	Kamelien ja kamelieläinten kasvatus	0125	4	Muu kotieläintalous	0
01440	5	Kamelien ja kamelieläinten kasvatus	01259	5	Muu eläinten hoito	0
0145	4	Lampaiden ja vuohien kasvatus	0122	4	Lampaiden, vuohien, hevosten, aasien ja muulien hoito	0
01450	5	Lampaiden ja vuohien kasvatus	01220	5	Lampaiden, vuohien, hevosten, aasien ja muulien hoito	0
0146	4	Sikojen kasvatus	0123	4	Sikojen hoito	0
01461	5	Porsastuotanto	01230	5	Sikojen hoito	0
01462	5	Lihasikojen kasvatus	01230	5	Sikojen hoito	0
0147	4	Siipikarjan kasvatus	0124	4	Siipikarjan hoito	0
01471	5	Kananmunien tuotanto	01240	5	Siipikarjan hoito	0
01472	5	Broilerien tuotanto	01240	5	Siipikarjan hoito	0
01479	5	Muu siipikarjatalous	01240	5	Siipikarjan hoito	0
0149	4	Muiden eläinten kasvatus	0124	4	Siipikarjan hoito	2
0149	4	Muiden eläinten kasvatus	0125*	4	Muu kotieläintalous	1
01491	5	Turkistarhaus	01251	5	Turkistarhaus	0
01492	5	Poronhoito	01252	5	Poronhoito	0
01499	5	Muu eläinten hoito	01240	5	Siipikarjan hoito	2
01499	5	Muu eläinten hoito	01259*	5	Muu eläinten hoito	1
015	3	Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)	013	3	Yhdistetty kasvinviljely ja kotieläintalous	0
0150	4	Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)	0130	4	Yhdistetty kasvinviljely ja kotieläintalous	0
01500	5	Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)	01301*	5	Yhdistetty kasvinviljely ja kotieläintalous	1
01500	5	Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)	01302	5	Yhdistetty kasvinviljely ja muu kotieläintalous	2
016	3	Maataloutta palveleva toiminta	011	3	Kasvinviljely; puutarhatalous	2
016	3	Maataloutta palveleva toiminta	014*	3	Maataloutta palveleva toiminta pl. eläinlääkintä	1
0161	4	Kasvinviljelyä palveleva toiminta	0111	4	Viljakasvien ja muiden viljelykasvien viljely	2
0161	4	Kasvinviljelyä palveleva toiminta	0141*	4	Kasvinviljelyä palveleva toiminta, maisemanhoito	1
01611	5	Kasvinviljelyn tukipalvelut	01410	5	Kasvinviljelyä palveleva toiminta, maisemanhoito	0
01612	5	Maatalousmaan pitäminen viljelykelpoisena	01111	5	Viljakasvien sekä palko- ja öljykasvien viljely	2
01612	5	Maatalousmaan pitäminen viljelykelpoisena	01410*	5	Kasvinviljelyä palveleva toiminta, maisemanhoito	1
0162	4	Kotieläintaloutta palveleva toiminta	0142	4	Eläinten hoitoon liittyvät palvelut pl. eläinlääkintä	0
01620	5	Kotieläintaloutta palveleva toiminta	01420	5	Eläinten hoitoon liittyvät palvelut pl. eläinlääkintä	0
0163	4	Sadon jatkokäsittely	0141	4	Kasvinviljelyä palveleva toiminta, maisemanhoito	0
01630	5	Sadon jatkokäsittely	01410	5	Kasvinviljelyä palveleva toiminta, maisemanhoito	0
0164	4	Siementen käsittely kasvinviljelyä varten	0141	4	Kasvinviljelyä palveleva toiminta, maisemanhoito	0
01640	5	Siementen käsittely kasvinviljelyä varten	01410	5	Kasvinviljelyä palveleva toiminta, maisemanhoito	0
017	3	Metsästys ja sitä palveleva toiminta	015	3	Metsästys, riistanhoito ja niitä palveleva toiminta	0
0170	4	Metsästys ja sitä palveleva toiminta	0150	4	Metsästys, riistanhoito ja niitä palveleva toiminta	0
01700	5	Metsästys ja sitä palveleva toiminta	01500	5	Metsästys, riistanhoito ja niitä palveleva toiminta	0
02	2	Metsätalous ja puunkorjuu	01	2	Maatalous, riistatalous ja niihin liittyvät palvelut	2
02	2	Metsätalous ja puunkorjuu	02*	2	Metsätalous ja siihen liittyvät palvelut	1
02	2	Metsätalous ja puunkorjuu	20	2	Sahatavaran, puutuotteiden sekä korkki- ja punontatuotteiden valmistus pl. huonekalut	2
02	2	Metsätalous ja puunkorjuu	45	2	Rakentaminen	2
02	2	Metsätalous ja puunkorjuu	75	2	Julkinen hallinto ja maanpuolustus; pakollinen sosiaalivakuutus	2
021	3	Metsänhoito	020	3	Metsätalous ja siihen liittyvät palvelut	0
0210	4	Metsänhoito	0201	4	Metsätalous	0
02100	5	Metsänhoito	02011*	5	Metsän kasvatus	1
02100	5	Metsänhoito	02019	5	Muu metsätalous	2
022	3	Puunkorjuu	020*	3	Metsätalous ja siihen liittyvät palvelut	1
022	3	Puunkorjuu	201	3	Puun sahaus, höyläys ja kyllästys	2
022	3	Puunkorjuu	452	3	Rakennusten tai niiden osien rakentaminen sekä maa- ja vesirakentaminen	2
0220	4	Puunkorjuu	0201*	4	Metsätalous	1
0220	4	Puunkorjuu	2010	4	Puun sahaus, höyläys ja kyllästys	2
0220	4	Puunkorjuu	4521	4	Yleiset talonrakennustyöt sekä maa- ja vesirakennustyöt	2
02200	5	Puunkorjuu	02013*	5	Puunkorjuu	1
02200	5	Puunkorjuu	02019	5	Muu metsätalous	2
02200	5	Puunkorjuu	20100	5	Puun sahaus, höyläys ja kyllästys	2
02200	5	Puunkorjuu	45219	5	Siltojen, tunnelien, sähkölinjojen ym. rakentaminen	2
023	3	Luonnon tuotteiden keruu (pl. polttopuu)	011	3	Kasvinviljely; puutarhatalous	2
023	3	Luonnon tuotteiden keruu (pl. polttopuu)	020*	3	Metsätalous ja siihen liittyvät palvelut	1
0230	4	Luonnon tuotteiden keruu (pl. polttopuu)	0112	4	Vihannesten, koristekasvien ja taimien viljely	2
