name	N	gender	type
Juhani	289 326	M	F
Olavi	145 504	M	F
Antero	140 753	M	F
Tapani	137 210	M	F
Johannes	136 309	M	F
Tapio	116 877	M	F
Mikael	102 571	M	F
Kalevi	98 741	M	F
Matti	82 548	M	F
Pekka	80 123	M	F
Petteri	73 386	M	F
Ilmari	71 071	M	F
Sakari	65 526	M	F
Matias	63 366	M	F
Antti	56 454	M	F
Juha	54 563	M	F
Heikki	53 100	M	F
Kristian	52 639	M	F
Timo	49 743	M	F
Kari	45 921	M	F
Mikko	45 837	M	F
Markus	43 402	M	F
Jari	40 882	M	F
Jukka	40 760	M	F
Kalervo	39 843	M	F
Markku	39 647	M	F
Aleksi	39 588	M	F
Jaakko	38 729	M	F
Petri	37 097	M	F
Oskari	36 774	M	F
Mika	36 671	M	F
Henrik	35 650	M	F
Lauri	35 587	M	F
Erkki	35 334	M	F
Veikko	35 299	M	F
Hannu	34 928	M	F
Seppo	34 232	M	F
Ville	33 218	M	F
Ensio	30 555	M	F
Ari	30 177	M	F
Janne	30 042	M	F
Valtteri	29 978	M	F
Marko	29 729	M	F
Pentti	29 531	M	F
Tuomas	28 133	M	F
Sami	27 737	M	F
Juho	26 678	M	F
Eero	26 171	M	F
Martti	25 863	M	F
Erik	25 039	M	F
Elias	24 615	M	F
Jani	24 165	M	F
Jorma	24 099	M	F
Samuli	23 608	M	F
Eemeli	22 554	M	F
Jussi	22 543	M	F
Harri	22 315	M	F
Risto	21 952	M	F
Teemu	21 770	M	F
Onni	21 674	M	F
Raimo	21 352	M	F
Veli	20 774	M	F
Jarmo	20 709	M	F
Pertti	20 619	M	F
Eino	20 365	M	F
Esa	20 243	M	F
Esko	19 608	M	F
Pasi	19 390	M	F
Jouni	19 294	M	F
Samuel	19 224	M	F
Arto	19 118	M	F
Jouko	18 572	M	F
Olli	18 511	M	F
Niko	18 494	M	F
Vesa	18 491	M	F
Reijo	18 321	M	F
Joonas	18 124	M	F
Kalle	18 082	M	F
Paavo	17 858	M	F
Toni	17 601	M	F
Toivo	17 268	M	F
Viljami	17 077	M	F
Armas	17 016	M	F
Johan	16 650	M	F
Emil	16 399	M	F
Santeri	16 390	M	F
Kimmo	16 230	M	F
Tomi	16 115	M	F
Leo	15 944	M	F
Henri	15 530	M	F
Joni	15 338	M	F
Väinö	15 080	M	F
Tommi	15 073	M	F
Tero	15 052	M	F
Eetu	14 772	M	F
Oliver	14 695	M	F
Ilkka	14 604	M	F
Pauli	14 568	M	F
Daniel	13 987	M	F
Otto	13 787	M	F
Sebastian	13 655	M	F
Ilari	13 591	M	F
Uolevi	13 464	M	F
Alexander	13 136	M	F
Tuomo	12 896	M	F
Aulis	12 747	M	F
Anton	12 685	M	F
Jarkko	12 611	M	F
Eemil	12 514	M	F
Aleksanteri	12 497	M	F
Jalmari	12 491	M	F
Jesse	12 246	M	F
Joona	11 898	M	F
Akseli	11 136	M	F
Vilho	10 899	M	F
Simo	10 872	M	F
Arttu	10 798	M	F
Jere	10 686	M	F
Allan	10 682	M	F
Einari	10 640	M	F
Keijo	10 579	M	F
Juuso	10 550	M	F
Kullervo	10 466	M	F
Lasse	10 351	M	F
Christian	10 176	M	F
Benjamin	10 099	M	F
Reino	10 089	M	F
Kauko	10 074	M	F
Joel	10 067	M	F
Julius	10 034	M	F
Jyrki	10 026	M	F
Niilo	9 987	M	F
Mauri	9 836	M	F
Kaarlo	9 720	M	F
Niklas	9 661	M	F
Leevi	9 657	M	F
Aukusti	9 553	M	F
Jan	9 516	M	F
Kai	9 172	M	F
Aarne	9 109	M	F
Yrjö	8 902	M	F
Aki	8 885	M	F
Juhana	8 826	M	F
Artturi	8 788	M	F
Elmeri	8 743	M	F
Miika	8 732	M	F
Riku	8 531	M	F
Karl	8 396	M	F
Tauno	8 316	M	F
Rasmus	8 196	M	F
Peter	8 064	M	F
Veeti	8 007	M	F
Teuvo	7 995	M	F
Jarno	7 939	M	F
Hermanni	7 938	M	F
Rauno	7 910	M	F
Topias	7 880	M	F
Eerik	7 713	M	F
Aaro	7 572	M	F
Vilhelm	7 480	M	F
Ossi	7 475	M	F
Joonatan	7 471	M	F
Aatos	7 452	M	F
Arvo	7 377	M	F
Viljo	7 258	M	F
Osmo	7 163	M	F
Valdemar	7 129	M	F
Veijo	7 110	M	F
Taisto	7 084	M	F
Robert	7 022	M	F
Patrik	7 010	M	F
Ismo	6 961	M	F
Rainer	6 922	M	F
Anssi	6 912	M	F
Roope	6 714	M	F
Henry	6 674	M	F
Anders	6 665	M	F
Atte	6 605	M	F
Aimo	6 511	M	F
Eelis	6 495	M	F
Asko	6 415	M	F
Henrikki	6 231	M	F
Taneli	6 096	M	F
Miro	6 077	M	F
Aapo	6 053	M	F
Aaron	6 021	M	F
Samu	5 897	M	F
Edvard	5 869	M	F
Lassi	5 755	M	F
Oiva	5 725	M	F
Oskar	5 665	M	F
Kasper	5 664	M	F
Iisakki	5 649	M	F
Ahti	5 610	M	F
Mauno	5 588	M	F
Tuukka	5 584	M	F
Kim	5 546	M	F
Verneri	5 544	M	F
Kustaa	5 383	M	F
Alex	5 382	M	F
Aarre	5 371	M	F
Lars	5 331	M	F
Vihtori	5 326	M	F
Andreas	5 302	M	F
Rafael	5 280	M	F
Topi	5 190	M	F
Kasperi	5 119	M	F
Wilhelm	5 104	M	F
August	5 085	M	F
Fredrik	5 048	M	F
Tarmo	5 046	M	F
Vili	5 037	M	F
Miikka	5 035	M	F
Alpo	4 999	M	F
Albert	4 947	M	F
Urho	4 926	M	F
Aatu	4 908	M	F
Jimi	4 865	M	F
Konsta	4 858	M	F
Sulo	4 742	M	F
Nikolai	4 716	M	F
Unto	4 689	M	F
Roni	4 683	M	F
Herman	4 649	M	F
Joakim	4 627	M	F
Ilpo	4 623	M	F
Tatu	4 601	M	F
Sauli	4 567	M	F
Jyri	4 494	M	F
Max	4 488	M	F
Kyösti	4 449	M	F
Michael	4 433	M	F
Gustav	4 379	M	F
Veikka	4 378	M	F
Kaj	4 361	M	F
Gunnar	4 351	M	F
Carl	4 344	M	F
Iivari	4 321	M	F
Saku	4 304	M	F
Tom	4 298	M	F
Severi	4 248	M	F
William	4 243	M	F
Alvar	4 129	M	F
Veli-Matti	4 060	M	F
Rikhard	4 035	M	F
Eeli	4 028	M	F
Heimo	3 987	M	F
Hugo	3 962	M	F
Iiro	3 812	M	F
Hans	3 806	M	F
Martin	3 737	M	F
Thomas	3 714	M	F
Voitto	3 695	M	F
John	3 694	M	F
Jonne	3 679	M	F
Rami	3 674	M	F
Pietari	3 656	M	F
Arvi	3 639	M	F
Otso	3 632	M	F
Pyry	3 615	M	F
Axel	3 607	M	F
Pellervo	3 584	M	F
Frans	3 568	M	F
Lenni	3 534	M	F
Viktor	3 528	M	F
Hannes	3 520	M	F
Jeremias	3 514	M	F
Miska	3 465	M	F
Olof	3 441	M	F
Sampo	3 412	M	F
Juha-Pekka	3 366	M	F
Harry	3 360	M	F
Paul	3 351	M	F
Oscar	3 326	M	F
Göran	3 304	M	F
Jami	3 297	M	F
Teppo	3 285	M	F
